"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1965-Q4","Q4-1965","USD","US Dollar","6","Millions",,,43912,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q1","Q1-1966","USD","US Dollar","6","Millions",,,45562,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q2","Q2-1966","USD","US Dollar","6","Millions",,,45781.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q3","Q3-1966","USD","US Dollar","6","Millions",,,46380,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1966-Q4","Q4-1966","USD","US Dollar","6","Millions",,,46395.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q1","Q1-1967","USD","US Dollar","6","Millions",,,46319.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q2","Q2-1967","USD","US Dollar","6","Millions",,,46929.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q3","Q3-1967","USD","US Dollar","6","Millions",,,47873,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1967-Q4","Q4-1967","USD","US Dollar","6","Millions",,,49380.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q1","Q1-1968","USD","US Dollar","6","Millions",,,50551,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q2","Q2-1968","USD","US Dollar","6","Millions",,,51098,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q3","Q3-1968","USD","US Dollar","6","Millions",,,51887.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1968-Q4","Q4-1968","USD","US Dollar","6","Millions",,,53576.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q1","Q1-1969","USD","US Dollar","6","Millions",,,55606,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q2","Q2-1969","USD","US Dollar","6","Millions",,,55802,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q3","Q3-1969","USD","US Dollar","6","Millions",,,56824.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1969-Q4","Q4-1969","USD","US Dollar","6","Millions",,,55702.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","USD","US Dollar","6","Millions",,,56325.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","USD","US Dollar","6","Millions",,,56302.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","USD","US Dollar","6","Millions",,,57265.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","USD","US Dollar","6","Millions",,,57958.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","USD","US Dollar","6","Millions",,,58822.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","USD","US Dollar","6","Millions",,,61195.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q3","Q3-1971","USD","US Dollar","6","Millions",,,62760.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1971-Q4","Q4-1971","USD","US Dollar","6","Millions",,,64298.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q1","Q1-1972","USD","US Dollar","6","Millions",,,67433.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q2","Q2-1972","USD","US Dollar","6","Millions",,,68930.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q3","Q3-1972","USD","US Dollar","6","Millions",,,69647.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1972-Q4","Q4-1972","USD","US Dollar","6","Millions",,,73714.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1973-Q1","Q1-1973","USD","US Dollar","6","Millions",,,77484.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1973-Q2","Q2-1973","USD","US Dollar","6","Millions",,,78881.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1973-Q3","Q3-1973","USD","US Dollar","6","Millions",,,79803.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1973-Q4","Q4-1973","USD","US Dollar","6","Millions",,,80518,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1974-Q1","Q1-1974","USD","US Dollar","6","Millions",,,81700.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1974-Q2","Q2-1974","USD","US Dollar","6","Millions",,,84002.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1974-Q3","Q3-1974","USD","US Dollar","6","Millions",,,85907.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1974-Q4","Q4-1974","USD","US Dollar","6","Millions",,,85090.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1975-Q1","Q1-1975","USD","US Dollar","6","Millions",,,84343.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1975-Q2","Q2-1975","USD","US Dollar","6","Millions",,,84100.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1975-Q3","Q3-1975","USD","US Dollar","6","Millions",,,88026.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1975-Q4","Q4-1975","USD","US Dollar","6","Millions",,,91442,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1976-Q1","Q1-1976","USD","US Dollar","6","Millions",,,95711.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1976-Q2","Q2-1976","USD","US Dollar","6","Millions",,,97206.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1976-Q3","Q3-1976","USD","US Dollar","6","Millions",,,99053.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1976-Q4","Q4-1976","USD","US Dollar","6","Millions",,,103781.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1977-Q1","Q1-1977","USD","US Dollar","6","Millions",,,109225,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1977-Q2","Q2-1977","USD","US Dollar","6","Millions",,,116112.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1977-Q3","Q3-1977","USD","US Dollar","6","Millions",,,119219.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1977-Q4","Q4-1977","USD","US Dollar","6","Millions",,,122893.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1978-Q1","Q1-1978","USD","US Dollar","6","Millions",,,125712.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1978-Q2","Q2-1978","USD","US Dollar","6","Millions",,,137819.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1978-Q3","Q3-1978","USD","US Dollar","6","Millions",,,144270.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1978-Q4","Q4-1978","USD","US Dollar","6","Millions",,,150350,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q1","Q1-1979","USD","US Dollar","6","Millions",,,152921,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q2","Q2-1979","USD","US Dollar","6","Millions",,,157204.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q3","Q3-1979","USD","US Dollar","6","Millions",,,164717.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q4","Q4-1979","USD","US Dollar","6","Millions",,,166919,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q1","Q1-1980","USD","US Dollar","6","Millions",,,170093.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q2","Q2-1980","USD","US Dollar","6","Millions",,,161559.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q3","Q3-1980","USD","US Dollar","6","Millions",,,165824.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q4","Q4-1980","USD","US Dollar","6","Millions",,,174901.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q1","Q1-1981","USD","US Dollar","6","Millions",,,181756.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q2","Q2-1981","USD","US Dollar","6","Millions",,,185848.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q3","Q3-1981","USD","US Dollar","6","Millions",,,188511,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q4","Q4-1981","USD","US Dollar","6","Millions",,,192643.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q1","Q1-1982","USD","US Dollar","6","Millions",,,190004.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q2","Q2-1982","USD","US Dollar","6","Millions",,,188543.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q3","Q3-1982","USD","US Dollar","6","Millions",,,186139.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q4","Q4-1982","USD","US Dollar","6","Millions",,,188203.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q1","Q1-1983","USD","US Dollar","6","Millions",,,191323.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q2","Q2-1983","USD","US Dollar","6","Millions",,,197126.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q3","Q3-1983","USD","US Dollar","6","Millions",,,207740.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q4","Q4-1983","USD","US Dollar","6","Millions",,,218240.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q1","Q1-1984","USD","US Dollar","6","Millions",,,225499.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q2","Q2-1984","USD","US Dollar","6","Millions",,,234760.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q3","Q3-1984","USD","US Dollar","6","Millions",,,240317,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q4","Q4-1984","USD","US Dollar","6","Millions",,,247289.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q1","Q1-1985","USD","US Dollar","6","Millions",,,250477.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q2","Q2-1985","USD","US Dollar","6","Millions",,,255947.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q3","Q3-1985","USD","US Dollar","6","Millions",,,258027.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q4","Q4-1985","USD","US Dollar","6","Millions",,,263251.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q1","Q1-1986","USD","US Dollar","6","Millions",,,265514,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q2","Q2-1986","USD","US Dollar","6","Millions",,,268504.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q3","Q3-1986","USD","US Dollar","6","Millions",,,272131.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q4","Q4-1986","USD","US Dollar","6","Millions",,,274514,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q1","Q1-1987","USD","US Dollar","6","Millions",,,272719,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q2","Q2-1987","USD","US Dollar","6","Millions",,,277880,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q3","Q3-1987","USD","US Dollar","6","Millions",,,283448.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q4","Q4-1987","USD","US Dollar","6","Millions",,,285617.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1988-Q1","Q1-1988","USD","US Dollar","6","Millions",,,286284.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1988-Q2","Q2-1988","USD","US Dollar","6","Millions",,,293267.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1988-Q3","Q3-1988","USD","US Dollar","6","Millions",,,295481.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1988-Q4","Q4-1988","USD","US Dollar","6","Millions",,,301847.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1989-Q1","Q1-1989","USD","US Dollar","6","Millions",,,305289,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1989-Q2","Q2-1989","USD","US Dollar","6","Millions",,,308006.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1989-Q3","Q3-1989","USD","US Dollar","6","Millions",,,315419.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1989-Q4","Q4-1989","USD","US Dollar","6","Millions",,,313726,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1990-Q1","Q1-1990","USD","US Dollar","6","Millions",,,320931.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1990-Q2","Q2-1990","USD","US Dollar","6","Millions",,,317334,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1990-Q3","Q3-1990","USD","US Dollar","6","Millions",,,317623.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1990-Q4","Q4-1990","USD","US Dollar","6","Millions",,,313383.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1991-Q1","Q1-1991","USD","US Dollar","6","Millions",,,307801.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1991-Q2","Q2-1991","USD","US Dollar","6","Millions",,,310146,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1991-Q3","Q3-1991","USD","US Dollar","6","Millions",,,310668,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1991-Q4","Q4-1991","USD","US Dollar","6","Millions",,,310216,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1992-Q1","Q1-1992","USD","US Dollar","6","Millions",,,314020.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1992-Q2","Q2-1992","USD","US Dollar","6","Millions",,,321750,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1992-Q3","Q3-1992","USD","US Dollar","6","Millions",,,324446.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1992-Q4","Q4-1992","USD","US Dollar","6","Millions",,,332579.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q1","Q1-1993","USD","US Dollar","6","Millions",,,334094.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q2","Q2-1993","USD","US Dollar","6","Millions",,,340892.3,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q3","Q3-1993","USD","US Dollar","6","Millions",,,344981.8,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1993-Q4","Q4-1993","USD","US Dollar","6","Millions",,,357926.5,,
"USA","United States","P51","Gross fixed capital formation","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1994-Q1","Q1-1994","USD","US Dollar","6","Millions",,,360001,,
